s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5317511E-004,-1.2832438E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5330343E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 5.5309570E-001, 2.0637134E+000, 0.0000000E+000,-5.5358222E-002, 3.4827458E-002,-1.0550389E-003,-2.0146472E-004,-2.7373437E-006, 0.0000000E+000, 8.4678366E-001, 2.0419234E+000, 0.0000000E+000, 6.8976255E-005, 0.0000000E+000,-5.9072940E-001
 1.0140088E+000, 1.0469503E+001, 0.0000000E+000,-1.5123236E+000, 1.5216036E-001,-2.6703110E-002,-5.1395332E-004, 3.1984436E-006, 0.0000000E+000, 9.5654963E+000, 9.0821255E+000, 0.0000000E+000, 1.7306769E-004, 0.0000000E+000,-5.9066883E-001
 1.5671045E+000, 1.4097300E+001, 0.0000000E+000,-6.3270787E+000, 1.3249848E-001,-5.5512486E-002,-8.6631864E-004,-1.5235856E-005, 0.0000000E+000, 7.8304415E+000, 7.8463254E+000, 0.0000000E+000, 2.8008540E-004, 0.0000000E+000,-5.9115560E-001
 2.0197828E+000, 1.4662910E+001, 0.0000000E+000,-4.4962441E+000, 1.7369945E-001,-3.6703236E-002,-1.1808191E-003,-2.6580040E-006, 0.0000000E+000, 9.2331185E+000, 1.0302479E+001, 0.0000000E+000, 3.7855783E-004, 0.0000000E+000,-5.9121757E-001
 2.5073168E+000, 1.9658691E+001, 0.0000000E+000,-4.5332892E+000, 2.5670590E-001,-4.0946687E-002,-1.4673841E-003,-3.5138256E-006, 0.0000000E+000, 1.5144970E+001, 1.5339690E+001, 0.0000000E+000, 4.7511410E-004, 0.0000000E+000,-5.9133350E-001
 3.0231879E+000, 2.3842263E+001, 0.0000000E+000,-7.0625198E+000, 2.8386207E-001,-6.5542576E-002,-1.7699283E-003, 1.7374355E-006, 0.0000000E+000, 1.6898331E+001, 1.6996295E+001, 0.0000000E+000, 5.8143153E-004, 0.0000000E+000,-5.9128298E-001
 3.5020826E+000, 2.8253391E+001, 0.0000000E+000,-7.9240268E+000, 3.4285554E-001,-1.4608824E-001,-2.0879916E-003, 1.5785578E-006, 0.0000000E+000, 2.0317576E+001, 2.0524045E+001, 0.0000000E+000, 6.8454198E-004, 0.0000000E+000,-5.9123376E-001
 4.0014677E+000, 3.2599755E+001, 0.0000000E+000,-8.4670979E+000, 4.0189001E-001,-4.8229006E-001,-2.4065562E-003,-3.6579476E-006, 0.0000000E+000, 2.3902829E+001, 2.4049846E+001, 0.0000000E+000, 7.8627914E-004, 0.0000000E+000,-5.9134404E-001
 4.5068455E+000, 3.7229140E+001, 0.0000000E+000,-9.7454040E+000, 4.5256778E-001,-7.9146614E-001,-2.7182031E-003,-4.3446197E-006, 0.0000000E+000, 2.7008375E+001, 2.7142115E+001, 0.0000000E+000, 8.9151128E-004, 0.0000000E+000,-5.9147686E-001
 5.0122232E+000, 4.1696663E+001, 0.0000000E+000,-1.1097200E+001, 2.3998317E-001,-1.0459143E+000,-3.0295428E-003,-1.2464372E-005, 0.0000000E+000, 2.9669866E+001, 2.9790490E+001, 0.0000000E+000, 9.9729304E-004, 0.0000000E+000,-5.9185790E-001
 5.5075431E+000, 4.6317963E+001, 0.0000000E+000,-1.2368604E+001,-4.0369443E-001,-1.4113375E+000,-3.3395262E-003,-1.0803511E-005, 0.0000000E+000, 3.2006886E+001, 3.2130978E+001, 0.0000000E+000, 1.1012083E-003, 0.0000000E+000,-5.9219412E-001
 6.0028629E+000, 5.0709747E+001, 0.0000000E+000,-1.3362592E+001,-1.3535555E-001,-1.9622086E+000,-3.6453083E-003,-5.1925533E-006, 0.0000000E+000, 3.5137642E+001, 3.5245940E+001, 0.0000000E+000, 1.2049139E-003, 0.0000000E+000,-5.9235374E-001
 6.5109911E+000, 5.5293028E+001, 0.0000000E+000,-1.4661658E+001,-1.0988046E+000,-2.3933467E+000,-3.9458728E-003,-5.9322754E-006, 0.0000000E+000, 3.7047554E+001, 3.7135267E+001, 0.0000000E+000, 1.3097232E-003, 0.0000000E+000,-5.9254072E-001
 7.0022168E+000, 5.9894975E+001, 0.0000000E+000,-1.5695918E+001,-2.3295986E+000,-2.7772562E+000,-4.2371206E-003,-5.2831567E-006, 0.0000000E+000, 3.8967543E+001, 3.9087959E+001, 0.0000000E+000, 1.4138701E-003, 0.0000000E+000,-5.9270256E-001
 7.5044451E+000, 6.4086612E+001, 0.0000000E+000,-1.6548853E+001,-1.3300709E+000,-3.0606956E+000,-4.5356304E-003,-2.0249435E-006, 0.0000000E+000, 4.3057024E+001, 4.3142454E+001, 0.0000000E+000, 1.5175896E-003, 0.0000000E+000,-5.9276633E-001
 8.0019016E+000, 6.8892273E+001, 0.0000000E+000,-1.8147085E+001,-2.1073277E+000,-3.3314050E+000,-4.8137048E-003,-3.3056302E-008, 0.0000000E+000, 4.5242430E+001, 4.5301641E+001, 0.0000000E+000, 1.6219081E-003, 0.0000000E+000,-5.9276909E-001
 8.5100622E+000, 7.3285363E+001, 0.0000000E+000,-1.9327230E+001,-2.6915596E+000,-3.6943574E+000,-5.1119886E-003,-4.1756161E-006, 0.0000000E+000, 4.7450488E+001, 4.7567100E+001, 0.0000000E+000, 1.7271915E-003, 0.0000000E+000,-5.9289694E-001
 9.0050669E+000, 7.7792691E+001, 0.0000000E+000,-2.0418666E+001,-3.3388286E+000,-4.1154794E+000,-5.4182895E-003,-4.6186026E-006, 0.0000000E+000, 4.9871825E+001, 4.9914294E+001, 0.0000000E+000, 1.8319803E-003, 0.0000000E+000,-5.9303921E-001
 9.5058012E+000, 8.2483785E+001, 0.0000000E+000,-2.1499136E+001,-4.4246828E+000,-4.4176395E+000,-5.7219660E-003, 2.6589313E-006, 0.0000000E+000, 5.2043694E+001, 5.2136607E+001, 0.0000000E+000, 1.9365237E-003, 0.0000000E+000,-5.9295842E-001
 1.0001857E+001, 8.6620300E+001, 0.0000000E+000,-2.2087728E+001,-4.8471727E+000,-4.8698421E+000,-6.0126637E-003,-6.4503748E-006, 0.0000000E+000, 5.4700399E+001, 5.4809538E+001, 0.0000000E+000, 2.0408513E-003, 0.0000000E+000,-5.9315268E-001
 1.0512633E+001, 9.1675200E+001, 0.0000000E+000,-2.4650297E+001,-6.2110535E+000,-5.3517697E+000,-6.2644996E-003,-9.2114499E-006, 0.0000000E+000, 5.5370482E+001, 5.5455806E+001, 0.0000000E+000, 2.1455796E-003, 0.0000000E+000,-5.9344270E-001
 1.1001923E+001, 9.5586534E+001, 0.0000000E+000,-2.4626053E+001,-5.8878024E+000,-5.5952365E+000,-6.5476190E-003, 1.8835844E-006, 0.0000000E+000, 5.9398812E+001, 5.9470895E+001, 0.0000000E+000, 2.2498423E-003, 0.0000000E+000,-5.9338968E-001
 1.1503378E+001, 1.0037051E+002, 0.0000000E+000,-2.5542073E+001,-9.3908409E+000,-5.8533142E+000,-6.8011012E-003, 1.4494539E-006, 0.0000000E+000, 5.9525641E+001, 5.9577485E+001, 0.0000000E+000, 2.3533275E-003, 0.0000000E+000,-5.9334559E-001
 1.2007581E+001, 1.0467783E+002, 0.0000000E+000,-2.8219535E+001,-1.1393622E+001,-5.8162123E+000,-7.0588512E-003, 4.9599840E-007, 0.0000000E+000, 5.9166227E+001, 5.9241403E+001, 0.0000000E+000, 2.4585053E-003, 0.0000000E+000,-5.9332709E-001
 1.2501586E+001, 1.0940197E+002, 0.0000000E+000,-2.9077723E+001,-1.1978336E+001,-6.1480108E+000,-7.3677393E-003,-1.2260594E-005, 0.0000000E+000, 6.2110556E+001, 6.2190517E+001, 0.0000000E+000, 2.5627916E-003, 0.0000000E+000,-5.9369367E-001
 1.3000071E+001, 1.1419939E+002, 0.0000000E+000,-3.0993425E+001,-1.5437073E+001,-6.5134751E+000,-7.6271931E-003, 1.2499680E-006, 0.0000000E+000, 6.1198941E+001, 6.1247787E+001, 0.0000000E+000, 2.6669383E-003, 0.0000000E+000,-5.9366417E-001
 1.3510929E+001, 1.1844704E+002, 0.0000000E+000,-3.1514756E+001,-1.5808882E+001,-7.3585437E+000,-7.9446492E-003,-2.0458079E-006, 0.0000000E+000, 6.3707519E+001, 6.3756913E+001, 0.0000000E+000, 2.7722660E-003, 0.0000000E+000,-5.9372270E-001
 1.4009429E+001, 1.2297033E+002, 0.0000000E+000,-3.1827593E+001,-1.9597902E+001,-8.0839935E+000,-8.1753437E-003,-5.3286326E-006, 0.0000000E+000, 6.3372698E+001, 6.3452664E+001, 0.0000000E+000, 2.8770481E-003, 0.0000000E+000,-5.9389066E-001
 1.4507317E+001, 1.2648529E+002, 0.0000000E+000,-3.3364933E+001,-1.9615233E+001,-8.5984612E+000,-8.3977599E-003,-2.8664803E-006, 0.0000000E+000, 6.4852959E+001, 6.4898267E+001, 0.0000000E+000, 2.9821293E-003, 0.0000000E+000,-5.9397766E-001
 1.5000278E+001, 1.3176214E+002, 0.0000000E+000,-3.4700527E+001,-2.2627616E+001,-8.8209595E+000,-8.6720444E-003,-4.4380538E-006, 0.0000000E+000, 6.5553304E+001, 6.5604362E+001, 0.0000000E+000, 3.0850373E-003, 0.0000000E+000,-5.9411614E-001
 1.5511201E+001, 1.3648963E+002, 0.0000000E+000,-3.6191600E+001,-2.3467942E+001,-9.1680668E+000,-8.9202101E-003,-5.0298689E-006, 0.0000000E+000, 6.7533630E+001, 6.7653098E+001, 0.0000000E+000, 3.1900043E-003, 0.0000000E+000,-5.9427149E-001
 1.6012648E+001, 1.3988907E+002, 0.0000000E+000,-3.7300708E+001,-2.7222699E+001,-9.9952194E+000,-9.1896298E-003,-2.5918320E-006, 0.0000000E+000, 6.5364373E+001, 6.5361250E+001, 0.0000000E+000, 3.2959055E-003, 0.0000000E+000,-5.9435231E-001
 1.6503540E+001, 1.4871182E+002, 0.0000000E+000,-3.9086664E+001,-2.8177684E+001,-1.0035252E+001,-9.6091439E-003, 2.8449415E-006, 0.0000000E+000, 7.1192752E+001, 7.1402616E+001, 0.0000000E+000, 3.3994285E-003, 0.0000000E+000,-5.9427698E-001
 1.7003950E+001, 1.4809863E+002, 0.0000000E+000,-3.8280594E+001,-3.3329986E+001,-1.0229890E+001,-9.8195324E-003,-2.6436245E-006, 0.0000000E+000, 6.6275570E+001, 6.6248342E+001, 0.0000000E+000, 3.5025708E-003, 0.0000000E+000,-5.9434746E-001
 1.7503389E+001, 1.5342720E+002, 0.0000000E+000,-4.2447366E+001,-3.8077969E+001,-1.0964979E+001,-1.0124928E-002,-4.6287182E-006, 0.0000000E+000, 6.1906656E+001, 6.1926755E+001, 0.0000000E+000, 3.6082643E-003, 0.0000000E+000,-5.9449794E-001
 1.8005304E+001, 1.5867491E+002, 0.0000000E+000,-4.2161664E+001,-4.4539484E+001,-1.1799560E+001,-1.0224763E-002, 1.2597306E-006, 0.0000000E+000, 6.0102302E+001, 6.0163980E+001, 0.0000000E+000, 3.7123126E-003, 0.0000000E+000,-5.9445007E-001
 1.8505041E+001, 1.6474612E+002, 0.0000000E+000,-4.2762684E+001,-4.6933437E+001,-1.1993677E+001,-1.0543497E-002,-3.1217760E-006, 0.0000000E+000, 6.2944340E+001, 6.3045778E+001, 0.0000000E+000, 3.8167555E-003, 0.0000000E+000,-5.9454488E-001
 1.9008360E+001, 1.6740599E+002, 0.0000000E+000,-4.4400713E+001,-4.8570628E+001,-1.2414711E+001,-1.0938581E-002,-9.7306630E-006, 0.0000000E+000, 6.1823412E+001, 6.2008992E+001, 0.0000000E+000, 3.9219271E-003, 0.0000000E+000,-5.9485310E-001
 1.9511677E+001, 1.7360723E+002, 0.0000000E+000,-4.5714624E+001,-5.1723684E+001,-1.2510851E+001,-1.1298579E-002, 7.8963107E-006, 0.0000000E+000, 6.3610340E+001, 6.3646778E+001, 0.0000000E+000, 4.0269592E-003, 0.0000000E+000,-5.9461449E-001
 2.0013737E+001, 1.7633539E+002, 0.0000000E+000,-4.8382486E+001,-5.5592939E+001,-1.2651455E+001,-1.1378738E-002,-5.7793364E-006, 0.0000000E+000, 5.9487587E+001, 5.9697123E+001, 0.0000000E+000, 4.1321004E-003, 0.0000000E+000,-5.9477374E-001
 2.0506990E+001, 1.7813689E+002, 0.0000000E+000,-4.6274841E+001,-5.6504654E+001,-1.3235318E+001,-1.1508745E-002,-5.3268290E-006, 0.0000000E+000, 6.2235492E+001, 6.2110567E+001, 0.0000000E+000, 4.2358042E-003, 0.0000000E+000,-5.9494744E-001
 2.1013166E+001, 1.9238644E+002, 0.0000000E+000,-5.3411425E+001,-6.1581363E+001,-1.3896704E+001,-1.1964471E-002,-4.7320632E-006, 0.0000000E+000, 6.3341853E+001, 6.3484978E+001, 0.0000000E+000, 4.3410346E-003, 0.0000000E+000,-5.9508181E-001
 2.1511690E+001, 1.8710026E+002, 0.0000000E+000,-5.1168800E+001,-6.1899736E+001,-1.4547542E+001,-1.2259043E-002, 6.4813424E-006, 0.0000000E+000, 5.9426634E+001, 5.9471934E+001, 0.0000000E+000, 4.4459262E-003, 0.0000000E+000,-5.9490126E-001
 2.2012724E+001, 1.9525745E+002, 0.0000000E+000,-5.2141151E+001,-6.2836146E+001,-1.4537849E+001,-1.2469619E-002,-4.2341391E-006, 0.0000000E+000, 6.5619345E+001, 6.5729829E+001, 0.0000000E+000, 4.5501218E-003, 0.0000000E+000,-5.9502412E-001
 2.2507170E+001, 1.9988702E+002, 0.0000000E+000,-5.5750134E+001,-7.1784176E+001,-1.4524122E+001,-1.2669223E-002,-3.7611179E-006, 0.0000000E+000, 5.7775403E+001, 5.7815912E+001, 0.0000000E+000, 4.6536684E-003, 0.0000000E+000,-5.9514411E-001
 2.3003147E+001, 2.0279147E+002, 0.0000000E+000,-5.5570232E+001,-7.1299394E+001,-1.4892261E+001,-1.3009020E-002, 1.4654419E-006, 0.0000000E+000, 6.1255600E+001, 6.1016574E+001, 0.0000000E+000, 4.7576737E-003, 0.0000000E+000,-5.9510292E-001
 2.3504490E+001, 2.1022545E+002, 0.0000000E+000,-5.9020228E+001,-7.8612045E+001,-1.6424476E+001,-1.3384828E-002,-3.2873506E-006, 0.0000000E+000, 5.5512152E+001, 5.6155311E+001, 0.0000000E+000, 4.8620465E-003, 0.0000000E+000,-5.9519922E-001
 2.4004005E+001, 2.0720969E+002, 0.0000000E+000,-5.5365969E+001,-8.1302271E+001,-1.7043091E+001,-1.3522402E-002,-6.2547673E-006, 0.0000000E+000, 5.3427589E+001, 5.3484835E+001, 0.0000000E+000, 4.9662983E-003, 0.0000000E+000,-5.9538137E-001
 2.4505558E+001, 2.2708147E+002, 0.0000000E+000,-6.0677128E+001,-8.4208548E+001,-1.7760049E+001,-1.3992904E-002,-5.2406703E-006, 0.0000000E+000, 6.4473652E+001, 6.4421748E+001, 0.0000000E+000, 5.0709338E-003, 0.0000000E+000,-5.9556194E-001
 2.5006939E+001, 2.1663330E+002, 0.0000000E+000,-6.0832644E+001,-8.8168731E+001,-1.7795393E+001,-1.4209655E-002,-6.2165432E-006, 0.0000000E+000, 4.9484503E+001, 4.9822319E+001, 0.0000000E+000, 5.1761371E-003, 0.0000000E+000,-5.9574797E-001
 2.5500425E+001, 2.2566836E+002, 0.0000000E+000,-6.1080106E+001,-8.9697236E+001,-1.7522573E+001,-1.4338096E-002, 4.4454913E-006, 0.0000000E+000, 5.7320757E+001, 5.7354111E+001, 0.0000000E+000, 5.2797170E-003, 0.0000000E+000,-5.9561644E-001
 2.6006699E+001, 2.3319514E+002, 0.0000000E+000,-6.4051281E+001,-8.9757194E+001,-1.8614638E+001,-1.4560529E-002,-1.6989817E-005, 0.0000000E+000, 6.0795655E+001, 6.0757447E+001, 0.0000000E+000, 5.3835566E-003, 0.0000000E+000,-5.9613569E-001
 2.6505749E+001, 2.3086108E+002, 0.0000000E+000,-6.3044793E+001,-9.5174697E+001,-1.9151790E+001,-1.4657396E-002, 1.1933555E-005, 0.0000000E+000, 5.3190704E+001, 5.3475157E+001, 0.0000000E+000, 5.4896836E-003, 0.0000000E+000,-5.9577383E-001
 2.7007299E+001, 2.4129895E+002, 0.0000000E+000,-6.6731544E+001,-9.5036325E+001,-1.9166543E+001,-1.5011690E-002,-1.2251122E-005, 0.0000000E+000, 6.0232205E+001, 6.0349511E+001, 0.0000000E+000, 5.5938704E-003, 0.0000000E+000,-5.9614674E-001
 2.7507088E+001, 2.4038007E+002, 0.0000000E+000,-6.5491871E+001,-9.4274367E+001,-2.0347527E+001,-1.5386183E-002,-2.2754547E-006, 0.0000000E+000, 6.0033306E+001, 6.0250916E+001, 0.0000000E+000, 5.6986437E-003, 0.0000000E+000,-5.9623953E-001
 2.8004335E+001, 2.5441939E+002, 0.0000000E+000,-6.9958888E+001,-1.0990819E+002,-2.1088326E+001,-1.5551602E-002, 1.3512405E-006, 0.0000000E+000, 5.3630837E+001, 5.3448441E+001, 0.0000000E+000, 5.8030564E-003, 0.0000000E+000,-5.9618426E-001
 2.8504078E+001, 2.4321875E+002, 0.0000000E+000,-6.7702520E+001,-1.1259144E+002,-2.0214210E+001,-1.5627158E-002, 1.3515304E-005, 0.0000000E+000, 4.2637570E+001, 4.2694962E+001, 0.0000000E+000, 5.9068756E-003, 0.0000000E+000,-5.9576859E-001
 2.9000389E+001, 2.6355625E+002, 0.0000000E+000,-7.2225700E+001,-1.1851336E+002,-2.0193610E+001,-1.5909685E-002, 2.3604392E-006, 0.0000000E+000, 5.2974464E+001, 5.2607665E+001, 0.0000000E+000, 6.0107821E-003, 0.0000000E+000,-5.9568879E-001
 2.9510464E+001, 2.5941472E+002, 0.0000000E+000,-7.1411280E+001,-1.1656908E+002,-1.9114596E+001,-1.6221710E-002,-2.6762700E-006, 0.0000000E+000, 5.2086564E+001, 5.2303543E+001, 0.0000000E+000, 6.1165802E-003, 0.0000000E+000,-5.9576267E-001
 3.0003139E+001, 2.7442578E+002, 0.0000000E+000,-8.0804248E+001,-1.2145371E+002,-1.9511822E+001,-1.6703742E-002,-2.8379381E-007, 0.0000000E+000, 5.1986355E+001, 5.2639298E+001, 0.0000000E+000, 6.2208844E-003, 0.0000000E+000,-5.9578910E-001
 3.0509214E+001, 2.7339900E+002, 0.0000000E+000,-7.5104794E+001,-1.2706169E+002,-2.1127005E+001,-1.7136940E-002,-3.4632942E-006, 0.0000000E+000, 5.0189709E+001, 5.0088368E+001, 0.0000000E+000, 6.3249050E-003, 0.0000000E+000,-5.9589065E-001
 3.1005684E+001, 2.7558431E+002, 0.0000000E+000,-7.3528927E+001,-1.2976444E+002,-2.3007053E+001,-1.7276874E-002,-1.0407227E-005, 0.0000000E+000, 4.9165633E+001, 4.9266600E+001, 0.0000000E+000, 6.4305327E-003, 0.0000000E+000,-5.9620035E-001
 3.1512316E+001, 2.6739943E+002, 0.0000000E+000,-7.5550641E+001,-1.2990813E+002,-2.3488999E+001,-1.7276539E-002,-2.7018496E-006, 0.0000000E+000, 3.8629770E+001, 3.8434375E+001, 0.0000000E+000, 6.5351612E-003, 0.0000000E+000,-5.9631297E-001
 3.2003498E+001, 2.8587924E+002, 0.0000000E+000,-8.1251306E+001,-1.2896352E+002,-2.2588746E+001,-1.7335153E-002,-4.2981808E-007, 0.0000000E+000, 5.3206869E+001, 5.3058330E+001, 0.0000000E+000, 6.6388371E-003, 0.0000000E+000,-5.9631035E-001
 3.2507671E+001, 2.9108477E+002, 0.0000000E+000,-8.0637455E+001,-1.3470431E+002,-2.1899225E+001,-1.7841297E-002, 1.1946960E-006, 0.0000000E+000, 5.3545326E+001, 5.3825939E+001, 0.0000000E+000, 6.7433612E-003, 0.0000000E+000,-5.9626882E-001
 3.3001514E+001, 3.0377436E+002, 0.0000000E+000,-8.9442549E+001,-1.4051637E+002,-2.2119706E+001,-1.8271176E-002,-1.4344993E-005, 0.0000000E+000, 5.1280107E+001, 5.1677448E+001, 0.0000000E+000, 6.8478392E-003, 0.0000000E+000,-5.9671309E-001
 3.3508713E+001, 2.8747195E+002, 0.0000000E+000,-8.1666685E+001,-1.3725901E+002,-2.2481624E+001,-1.8352967E-002, 7.6597516E-006, 0.0000000E+000, 4.6014656E+001, 4.6046290E+001, 0.0000000E+000, 6.9516868E-003, 0.0000000E+000,-5.9647888E-001
 3.4007076E+001, 3.1235924E+002, 0.0000000E+000,-8.4893886E+001,-1.4619561E+002,-2.3829122E+001,-1.8552970E-002, 4.4087867E-006, 0.0000000E+000, 5.7052789E+001, 5.7422070E+001, 0.0000000E+000, 7.0572975E-003, 0.0000000E+000,-5.9633472E-001
 3.4509239E+001, 3.0220213E+002, 0.0000000E+000,-8.4700344E+001,-1.5335533E+002,-2.4464017E+001,-1.8898808E-002,-4.1878441E-006, 0.0000000E+000, 3.8924470E+001, 3.9663536E+001, 0.0000000E+000, 7.1617590E-003, 0.0000000E+000,-5.9647798E-001
 3.5009789E+001, 2.9841548E+002, 0.0000000E+000,-8.3592253E+001,-1.6088841E+002,-2.5877261E+001,-1.8388765E-002, 1.8447845E-006, 0.0000000E+000, 2.9117025E+001, 2.8039174E+001, 0.0000000E+000, 7.2664485E-003, 0.0000000E+000,-5.9638804E-001
 3.5509884E+001, 3.2801704E+002, 0.0000000E+000,-9.5681022E+001,-1.6021577E+002,-2.5411538E+001,-1.9060266E-002,-2.5315297E-006, 0.0000000E+000, 4.5790279E+001, 4.6689652E+001, 0.0000000E+000, 7.3711249E-003, 0.0000000E+000,-5.9650250E-001
 3.6010536E+001, 3.3149869E+002, 0.0000000E+000,-9.4142433E+001,-1.5627307E+002,-2.5873761E+001,-1.9623048E-002,-4.5599856E-006, 0.0000000E+000, 5.5065983E+001, 5.5189802E+001, 0.0000000E+000, 7.4759484E-003, 0.0000000E+000,-5.9663251E-001
 3.6502193E+001, 3.2849469E+002, 0.0000000E+000,-9.3452147E+001,-1.5442509E+002,-2.6791715E+001,-2.0007158E-002,-8.9620970E-006, 0.0000000E+000, 5.3517539E+001, 5.3805720E+001, 0.0000000E+000, 7.5787708E-003, 0.0000000E+000,-5.9690040E-001
